Property,Question,Type,Unit,Filter,Types,Units,Filter
librettist,Who's the librettist of $X$?,0,0,0,,,
major_cities,Which major city does $X$ flow through?,0,0,0,,,
media,What's $X$'s medium?,0,0,0,,,
model,What's $X$'s model?,0,0,0,,,
mountain_range,What mountain range is $X$ part of?,0,0,0,,,
mountains,Which mountains are in $X$?,0,0,0,,,
music,Who created the music for $X$?,0,0,0,,,
name,Who or what could this represent?,0,0,0,,,
number_of_episodes,How many episodes did $X$ run?,2,0,0,,,
number_of_issues,How many issues are in $X$?,2,0,0,,,
number_of_seasons,How many seasons did $X$ run?,2,0,0,,,
official_language,What language is spoken in $X$?,0,0,0,,,
origin,Where did $X$ start?,0,0,0,,,
place_of_birth,Where was $X$ born?,0,0,1,,,
presidency_number,What's $X$'s presidency number?,2,0,0,,,
program_creator,Who created $X$?,0,0,0,,,
publisher,Who published $X$?,0,0,0,,,
railways,What railway is $X$ part of?,0,0,0,,,
release_date,What was the initial release date of $X$?,1,0,0,,,
religion,What's $X$'s religion?,0,0,0,,,
starring./film/performance/actor,Who starred in $X$?,0,0,0,,,
story_by,Who wrote the story $X$?,0,0,0,,,
subjects,What's a theme of $X$?,0,0,0,,,
symbol,What's $X$'s symbol?,0,0,0,,,
team_mascot,What's $X$'s mascot?,0,0,0,,,
teams,Which team plays $X$?,0,0,0,,,
vice_president,Who was $X$'s Vice President?,0,0,0,,,
written_by,Who was $X$ written by?,0,0,0,,,
